Date,Time,Instrument,StudyTimeframe,HigherTimeframeCandleOpenTime,Open,High,Low,Close,Range,Level50,Level25,FirstLevel50TouchTime,Outcome,OutcomeTime,MinutesFromLevel50ToOutcome,MaximumPriceAfterLevel50,MinimumPriceAfterLevel50,SessionTemplate,DataResolution
2026-06-24,17:00:00,NQ SEP26,15m,2026-06-24 17:00:00,30094.50,30157.75,30080.00,30095.25,77.75,30118.88,30099.44,2026-01-01 18:16:00,DOWN,2026-01-01 18:16:00,0,25983.00,25970.00,CME US Index Futures ETH,1-Minute
2026-06-24,17:00:00,NQ SEP26,15m,2026-06-24 17:00:00,30094.50,30157.75,30080.00,30095.25,77.75,30118.88,30099.44,2026-01-01 18:31:00,DOWN,2026-01-01 18:31:00,0,25976.50,25969.25,CME US Index Futures ETH,1-Minute
2026-06-24,17:00:00,NQ SEP26,15m,2026-06-24 17:00:00,30094.50,30157.75,30080.00,30095.25,77.75,30118.88,30099.44,2026-01-01 18:46:00,DOWN,2026-01-01 18:46:00,0,25991.25,25982.25,CME US Index Futures ETH,1-Minute
2026-06-24,17:00:00,NQ SEP26,15m,2026-06-24 17:00:00,30094.50,30157.75,30080.00,30095.25,77.75,30118.88,30099.44,2026-01-01 19:01:00,DOWN,2026-01-01 19:01:00,0,25990.25,25981.00,CME US Index Futures ETH,1-Minute
2026-06-24,17:00:00,NQ SEP26,15m,2026-06-24 17:00:00,30094.50,30157.75,30080.00,30095.25,77.75,30118.88,30099.44,2026-01-01 19:16:00,DOWN,2026-01-01 19:16:00,0,25980.25,25974.50,CME US Index Futures ETH,1-Minute
2026-06-24,17:00:00,NQ SEP26,15m,2026-06-24 17:00:00,30094.50,30157.75,30080.00,30095.25,77.75,30118.88,30099.44,2026-01-01 19:31:00,DOWN,2026-01-01 19:31:00,0,25998.75,25993.75,CME US Index Futures ETH,1-Minute
2026-06-24,17:00:00,NQ SEP26,15m,2026-06-24 17:00:00,30094.50,30157.75,30080.00,30095.25,77.75,30118.88,30099.44,2026-01-01 19:46:00,DOWN,2026-01-01 19:46:00,0,25997.75,25990.00,CME US Index Futures ETH,1-Minute
2026-06-24,17:00:00,NQ SEP26,15m,2026-06-24 17:00:00,30094.50,30157.75,30080.00,30095.25,77.75,30118.88,30099.44,2026-01-01 20:01:00,DOWN,2026-01-01 20:01:00,0,26012.50,26001.25,CME US Index Futures ETH,1-Minute
2026-06-24,17:00:00,NQ SEP26,15m,2026-06-24 17:00:00,30094.50,30157.75,30080.00,30095.25,77.75,30118.88,30099.44,2026-01-01 20:16:00,DOWN,2026-01-01 20:16:00,0,26026.25,26021.50,CME US Index Futures ETH,1-Minute
2026-06-24,17:00:00,NQ SEP26,15m,2026-06-24 17:00:00,30094.50,30157.75,30080.00,30095.25,77.75,30118.88,30099.44,2026-01-01 20:31:00,DOWN,2026-01-01 20:31:00,0,26029.00,26022.50,CME US Index Futures ETH,1-Minute
2026-06-24,17:00:00,NQ SEP26,15m,2026-06-24 17:00:00,30094.50,30157.75,30080.00,30095.25,77.75,30118.88,30099.44,2026-01-01 20:46:00,DOWN,2026-01-01 20:46:00,0,26042.00,26037.75,CME US Index Futures ETH,1-Minute
2026-06-24,17:00:00,NQ SEP26,15m,2026-06-24 17:00:00,30094.50,30157.75,30080.00,30095.25,77.75,30118.88,30099.44,2026-01-01 21:01:00,DOWN,2026-01-01 21:01:00,0,26050.50,26046.00,CME US Index Futures ETH,1-Minute
